student_id,name,program,gender,age,study_mode,gpa_sem1,gpa_sem2,attendance_rate,hours_studied_per_week,co_curricular,fee_payment_status,overall_gpa
5263,Student_263,Diploma IT,M,29,Part-Time,2.81,3.04,89.3,10.5,None,Paid,2.92
5264,Student_264,BSc SE,M,18,Part-Time,1.76,1.49,66.6,,Volunteer,Outstanding,1.62
5265,Student_265,Diploma CS,M,26,Part-Time,3.41,3.67,82.2,10.5,None,Paid,3.54
5266,Student_266,Diploma CS,F,20,Full-Time,1.68,1.9,91.9,18.0,Volunteer,Paid,1.79
5267,Student_267,BSc SE,M,19,Full-Time,2.54,3.26,71.4,13.2,Volunteer,Paid,2.9
5268,Student_268,Diploma IT,F,26,Full-Time,2.84,3.17,82.9,9.5,None,Paid,3.0
5269,Student_269,BSc CS,F,22,Full-Time,2.42,2.31,88.3,6.8,None,Paid,2.37
5270,Student_270,Diploma IT,F,29,Full-Time,3.49,3.25,82.3,11.2,Clubs,Paid,3.37
5271,Student_271,Diploma IT,F,19,Full-Time,1.94,1.67,100.0,12.9,Leadership,Paid,1.8
5272,Student_272,BSc CS,F,19,Part-Time,2.28,2.07,95.9,16.1,Leadership,Paid,2.17
5273,Student_273,Diploma IT,M,28,Full-Time,2.77,2.71,94.4,13.0,Leadership,Paid,2.74
5274,Student_274,BSc SE,F,19,Full-Time,2.7,2.56,,16.0,Clubs,Paid,2.63
5275,Student_275,Diploma CS,F,29,Full-Time,2.03,1.92,77.1,13.0,Sports,Paid,1.98
5276,Student_276,BSc CS,M,18,Part-Time,2.37,2.45,91.5,8.7,None,Paid,2.41
5277,Student_277,Diploma IT,F,29,Full-Time,3.67,3.18,87.0,7.7,None,Paid,3.42
5278,Student_278,Diploma IT,M,25,Full-Time,3.04,2.93,73.9,9.1,Clubs,Outstanding,2.99
5279,Student_279,Diploma CS,F,22,Part-Time,2.48,2.45,90.4,8.1,Clubs,Outstanding,2.46
5280,Student_280,Diploma IT,M,25,Full-Time,3.64,3.54,93.1,7.9,None,Paid,3.59
5281,Student_281,BSc SE,M,23,Full-Time,3.61,3.3,87.1,11.8,Volunteer,Paid,3.46
5282,Student_282,BSc CS,M,27,Part-Time,3.31,3.04,83.1,15.4,None,Outstanding,3.18
5283,Student_283,BSc SE,M,22,Full-Time,1.86,2.3,83.2,8.8,Volunteer,Outstanding,2.08
5284,Student_284,BSc CS,M,21,Full-Time,2.69,2.81,79.1,8.3,None,Outstanding,2.75
5285,Student_285,BSc SE,M,24,Full-Time,1.62,1.92,76.4,6.6,None,Paid,1.77
5286,Student_286,Diploma CS,F,20,Full-Time,3.25,2.76,82.5,15.7,Clubs,Paid,3.0
5287,Student_287,BSc SE,F,21,Full-Time,2.03,2.24,83.6,11.7,Clubs,Paid,2.13
5288,Student_288,BSc CS,M,26,Full-Time,2.37,2.44,84.3,10.8,Volunteer,Paid,2.41
5289,Student_289,Diploma CS,F,22,Part-Time,2.23,2.76,91.4,15.2,Clubs,Paid,2.5
5290,Student_290,BSc CS,M,25,Full-Time,2.28,2.63,94.1,14.1,None,Outstanding,2.46
5291,Student_291,BSc CS,F,24,Full-Time,2.94,3.4,82.4,9.3,None,Paid,3.17
5292,Student_292,BSc SE,F,27,Full-Time,2.94,2.97,70.8,14.7,Clubs,Paid,2.96
5293,Student_293,Diploma CS,M,25,Full-Time,2.37,,98.7,14.2,Volunteer,Paid,2.48
5294,Student_294,BSc SE,F,27,Full-Time,2.69,2.32,89.6,15.6,Volunteer,Paid,2.5
5295,Student_295,BSc CS,F,27,Full-Time,1.47,2.26,66.6,6.4,None,Paid,1.86
5296,Student_296,BSc SE,M,20,Full-Time,1.48,2.5,92.4,2.2,Sports,Outstanding,1.99
5297,Student_297,Diploma CS,F,22,Full-Time,2.59,2.32,76.8,11.5,Sports,Outstanding,2.46
5298,Student_298,Diploma IT,M,29,Full-Time,2.65,2.34,79.3,10.7,Sports,Paid,2.5
5299,Student_299,BSc CS,F,25,Part-Time,2.97,3.02,87.7,6.8,Clubs,Paid,3.0
5300,Student_300,BSc CS,M,23,Full-Time,2.8,2.56,94.5,12.3,None,Paid,2.68
